source,target
@QodryAmir,@Miduk17
@AshuriHaqi39211,@triwul82
@ramly12313271,@kompascom
@Arya53149945,@geloraco
@theopils,@AirinDatangLagi
@theopils,@PDI_Perjuangan
@TeddyAdmadja,@alextham878
@ajegilelu1,@papanedu
@ajegilelu1,@satriohendri
@TheThanos_100,@Dennysiregar7
@Comeback_Eltrio,@TeddGus
@IdhamSunyoto,@rzd_ky
@IdhamSunyoto,@Dennysiregar7
@HendroCipto72,@alextham878
@HendroCipto72,@lhayesno
@riyadlubiss,@jek___
@Tulus_nih70,@stacitarpeta18
@Tulus_nih70,@cobeh2022
@Sotoy47098889,@DeHoutman_id
@Sotoy47098889,@PartaiSocmed
@HendroCipto72,@sukardihan95242
@Ruwetsia_303,@Miduk17
@HendroCipto72,@sukardihan95242
@mariadi63425147,@Miduk17
@nikkendil,@satriohendri
@BLiliang,@MuhammadTa6693
@Ngopidulu,@mualangborneo
@Ngopidulu,@GeiszChalifah
@sipalingjujur,@datuakrajoangek
@BorisCapres,@HLN_BE
@MukhitsP,@devcepi60
@MukhitsP,@BradHarizz
@MukhitsP,@ganjarpranowo
@KangNanooo,@SekarJayanti07
@outtaspike,@rotisokelat
@kaprikurt,@matakudoea
@kaprikurt,@kompascom
@heryajalagi,@Umar_Hasibuan__
@AbdiDal88007234,@bonnietriyana
@AbdiDal88007234,@AhmadSahidah
@AbdiDal88007234,@cobeh2022
@ArthaArtha15,@ArthaArtha15
@ArthaArtha15,@alextham878
@Scorp_1011,@Safa_Andriana
@arifinsyah14,@kumparan
@KakekAde,@ganjarpranowo
@KakekAde,@mohmahfudmd
@KamarullahH,@sandiuno
@KamarullahH,@ganjarpranowo
@sonnyprakosa7,@Minietweets_
@sonnyprakosa7,@Fahrihamzah
@streetlawyers85,@Umar_Hasibuan__
@streetlawyers85,@aniesbaswedan
@gito51226,@alextham878
@AchirmanPutra,@kamar_agung
@AchirmanPutra,@TimnasIndonesia
@miraclebluee,@jiuuuunp
@tamanakalcom,@yusi8787
@tamanakalcom,@PartaiSocmed
@ArthaArtha15,@alextham878
@LuckyLudjaina,@Yurissa_Samosir
@LuckyLudjaina,@bos_sir
@alisyarief,@SusilawatiSisi2
@Masruri51880513,@cakimiNOW
@Masruri51880513,@aniesbaswedan
@Masruri51880513,@EmHasanuddin
@Masruri51880513,@DPP_PKB
@dosopriyanto,@aniesbaswedan
@dosopriyanto,@cakimiNOW
@ogleng_kethek,@tvOneNews
@Tan_Mar3M,@zaenalarifin17
@Tan_Mar3M,@ganjarpranowo
@BukeLeadee18084,@Fahrihamzah
@aitikohsafa,@KhoirilAnwar_
@aitikohsafa,@Dennysiregar7
@kamar_agung,@AchirmanPutra
@kamar_agung,@TimnasIndonesia
@sonnyprakosa7,@TeddGus
@Sulaima72658209,@DPP_PKB
@AchirmanPutra,@kamar_agung
@AchirmanPutra,@TimnasIndonesia
@tukangtwittter,@aniesbaswedan
@tukangtwittter,@cakimiNOW
@Alloybroo,@Yom_N_Friends
@sofyanjak,@Indostransfer
@kasman_abdya,@MuhiqR
@kasman_abdya,@Tan_Mar3M
@MahaYakuza,@ekokuntadhi1
@KokoGunawan10,@Yom_N_Friends
@ShopeeSatystich,@Yom_N_Friends
@andes_lauw81,@Miduk17
@GAllyanda9,@AntoniusCDN
@GAllyanda9,@ganjarpranowo
@dadan_mora,@Catatan_ali7
@dadan_mora,@ganjarpranowo
@kasman_abdya,@ArieMutyara
@nak_anaksiapaya,@jek___
@gilang_ahm31272,@Tan_Mar3M
@yana_udiyatna,@CNNIndonesia
@kasman_abdya,@abu_waras
@alfin999999,@wdtu
@FitriWidia52,@AntoniusCDN
@FitriWidia52,@ganjarpranowo
@si_ciio,@Stev3n_Peg3l
@AdeDhani9,@Penyuka_ombak
@dosopriyanto,@DPP_PKB
@Iing_m,@CNNIndonesia
@ElidhaRose70,@AntoniusCDN
@ElidhaRose70,@ganjarpranowo
@thegeje,@VIVAcoid
@RahmadFerdian3,@DPP_PKB
@HisyamAlfatih93,@DeHoutman_id
@HisyamAlfatih93,@PartaiSocmed
@EMusiran,@BosPurwa
@andreas_giofani,@AntoniusCDN
@andreas_giofani,@ganjarpranowo
@RElvianalubis,@cakimiNOW
@83Rosani,@cakimiNOW
@Eka_Alfajri,@bawaslu_RI
@pra_dypta,@Indostransfer
@DiniHariya30,@AntoniusCDN
@DiniHariya30,@ganjarpranowo
@yukitawor,@jalbijalbi
@yukitawor,@demokrat_jakpus
@rzd_ky,@kowelllazza
@rzd_ky,@Dennysiregar7
@AmriRizaal,@AntoniusCDN
@AmriRizaal,@ganjarpranowo
@AmirAmra7,@cakimiNOW
@ekoboy_2,@StefanAntonio__
@Tiyangalityo,@J_Rumingkan9
@miendyoe,@detikcom
@pakkabak,@VIVAcoid
@27wnr,@tvOneNews
@centangbiru28,@DarsAlexandra1
@anieskembang,@TeddGus
@rajippps,@abdrianriz1992
@rajippps,@Indostransfer
@Yunandi16,@Miduk17
@J_Rumingkan9,@Tiyangalityo
@kawulane01,@ch_chotimah2
@kawulane01,@psi_id
@abdrianriz1992,@abdrianriz1992
@abdrianriz1992,@rajippps
@abdrianriz1992,@Indostransfer
@dikifahmifadila,@txtdrpemerintah
@genjerisk,@Boediantar4
@genjerisk,@geloraco
@IdhamSunyoto,@Miduk17
@IdhamSunyoto,@Republicsocmed
@FarhanMz992914,@Idho09
@FarhanMz992914,@garagarabola_
@IrwanIb92314885,@cakimiNOW
@angkasaprabu89,@BradHarizz
@angkasaprabu89,@ganjarpranowo
@AkhmadSolikin81,@cakimiNOW
@Kucinggering19,@kang___L
@Schlossthe6,@ArieMutyara
@videsba,@BancadaCyan
@videsba,@Elisa_Rosalesv
@videsba,@nayibbukele
@sethya51,@PartaiSocmed
@sami_ss9663877,@Dennysiregar7
@MuhammadTa6693,@abu_waras
@MuhammadTa6693,@bawaslu_RI
@jeru_utomo166,@HukumDan
@ybudi55,@BangPino__
@morrisssey,@PartaiSocmed
@ybudi55,@abu_waras
@otomoyotoM,@geloraco
@joe_djyan,@HukumDan
@JhonRinaldo10,@detikcom
@NaelaRuni80,@AntoniusCDN
@NaelaRuni80,@ganjarpranowo
@mr_jumadi,@cakimiNOW
@mr_jumadi,@DPP_PKB
@RajaasaTarigan,@Tita83079013
@RajaasaTarigan,@cakimiNOW
@FahmiHanaf70,@AntoniusCDN
@FahmiHanaf70,@ganjarpranowo
@JhonRinaldo10,@tempodotco
@Ar_910,@DeHoutman_id
@Ar_910,@PartaiSocmed
@chuyAjah,@wakcis
@4hmadM,@tempodotco
@VinaAnggista,@AntoniusCDN
@VinaAnggista,@ganjarpranowo
@habekyoto,@geloraco
@mariadi63425147,@BradHarizz
@mariadi63425147,@ganjarpranowo
@yaqin_zn,@cakimiNOW
@yaqin_zn,@DPP_PKB
@GifariAkbarr,@AntoniusCDN
@GifariAkbarr,@ganjarpranowo
@ajarurip2,@satriohendri
@4nt0ni,@Mdy_Asmara1701
@kaprikurt,@adityaayudii
@kaprikurt,@BosPurwa
@elsaaAul61,@AntoniusCDN
@elsaaAul61,@ganjarpranowo
@4nt0ni,@sutanmangara
@Nur06168340,@Nur06168340
@Nur06168340,@Dennysiregar7
@onni_saputra99,@Mharisandi
@onni_saputra99,@VIVAcoid
@wenas_s,@BangPino__
@A1ki4_ku5_21,@DeddyDjumadi4
@gilang_ahm31272,@dAsalbantani
@gilang_ahm31272,@CNNIndonesia
@gb_sleepy,@geloraco
@seroja_merah,@GUSDURians
@gilang_ahm31272,@sukiman49
@gilang_ahm31272,@CNNIndonesia
@4nt0ni,@BradHarizz
@4nt0ni,@ganjarpranowo
@anggini_neti,@AntoniusCDN
@anggini_neti,@ganjarpranowo
@gilang_ahm31272,@CNNIndonesia
@riko_anggianto,@AntoniusCDN
@riko_anggianto,@ganjarpranowo
@fahen19,@PasundanJunior
@fahen19,@wdtu
@KadrunMustDie,@bachrum_achmadi
@Fbird117,@bawaslu_RI
@Fbird117,@Kemenag_RI
@4nt0ni,@HukumDan
@JurnalAspirasi,@geloraco
@menggagasMD,@cakimiNOW
@menggagasMD,@DPP_PKB
@TonyAlvito,@Dennysiregar7
@ElingCakrawala,@cakimiNOW
@4hmadM,@detikcom
@ononiha_radja,@Ndaxwz
@lin_Trenggono,@tempodotco
@Anang_ssanto,@ch_chotimah2
@Anang_ssanto,@Hary_Tanoe
@HahaMadridistas,@VIVAcoid
@BKartijaya,@SBYudhoyono
@inimustikus,@inimustikus
@chavezmarvin,@radioyskl
@chavezmarvin,@Insaforpsv
@chavezmarvin,@AsambleaSV
@Khairul79989529,@DPP_PKB
@UltramanSaga2,@Dennysiregar7
@kangtrivia,@Fahrihamzah
@kangtrivia,@KPU_ID
@kangtrivia,@bawaslu_RI
@RizalGazali2,@mila_syam67
@BKartijaya,@AgusYudhoyono
@antikadrun2023,@alextham878
@antikadrun2023,@Tulus_nih70
@AlianisBgd,@geloraco
@tijabar,@attarimai
@AgusssBaskoro,@Fahrihamzah
@telagapaku,@Tita83079013
@RaniSaputri90,@hasyimmah
@SiutuhSiutuh12,@DPP_PKB
@SiutuhSiutuh12,@aniesbaswedan
@SiutuhSiutuh12,@cakimiNOW
@sukadan010606,@cakimiNOW
@DeHoutman_id,@ganjarpranowo
@DeHoutman_id,@mohmahfudmd
@vanc1Bozz,@SBYudhoyono
@vanc1Bozz,@AgusYudhoyono
@AriMencari78,@KompasTV
@Pepatah_dr_Chin,@jokowi
@Pepatah_dr_Chin,@mohmahfudmd
@grandmaguz,@terjabarkan
@grandmaguz,@budimandjatmiko
@AzizDimyati,@yusuf_dumdum
@AzizDimyati,@NasDem
@AzizDimyati,@PKSejahtera
@OndriatnaLevel,@tempodotco
@ mr. Black,@KompasTV
@tempodotco,@tempodotco
@NoydJr,@Dennysiregar7
@AnakCondet_,@yudiwijayaa
@AnakCondet_,@ekowboy2
@pratman66,@musniumar
@gylangHafizhBV,@marlina_idha
@vbro_w,@islah_bahrawi
@jogja_sulis,@bareda
@jogja_sulis,@KakekHalal
@Ganjar_Andika08,@LaingenLisa
@SemutMerah2024,@aniesbaswedan
@raetse,@KompasTV
@dumasfaisal,@ganjarpranowo
@dumasfaisal,@mohmahfudmd
@masakanrasako,@SeputarAHY
@FadhlyAulia,@KompasTV
@EdiKeceput2,@adearmando61
@Jas0886,@SeputarAHY
@rudywijananto,@ganjarpranowo
@rudywijananto,@mohmahfudmd
@amruh75,@KompasTV
@iyai_toeni,@tvOneNews
@Akal_Sehat999,@tvOneNews
@Chynthia_K,@PDI_Perjuangan
@Chynthia_K,@ganjarpranowo
@Chynthia_K,@mohmahfudmd
@rwo,@ganjarpranowo
@rwo,@mohmahfudmd
@TitikPiluh,@KompasTV
@MAP08LGS,@WonogiriPD
@ziem_look,@detikcom
@detikcom,@detikjabar_
@rasulkita1,@AgusYudhoyono
@rasulkita1,@PDemokrat
@wahju_wibowo,@islah_bahrawi
@SangkalaSangka6,@NovalAssegaf
@SangkalaSangka6,@aniesbaswedan
@Nanangraonse,@tempodotco
@Arya53149945,@ballambinlove
@Arya53149945,@KompasTV
@pekerjamuseum,@prabowo
@pekerjamuseum,@ganjarpranowo
@pekerjamuseum,@aniesbaswedan
@pekerjamuseum,@jokowi
@LANGKAHANIES,@aniesbaswedan
@adiforza3,@KakekHalal
@UsoppKun88,@WonogiriPD
@Dann71281014,@tempodotco
@linda_gunawan,@hasyimmah
@yogaskuyy,@WonogiriPD
@arjanto,@Hasbil_Lbs
@Minang_cyber,@ridwankamil
@Minang_cyber,@ganjarpranowo
@Minang_cyber,@golkarpedia
@Minang_cyber,@PDI_Perjuangan
@Minang_cyber,@ridwankamil
@Minang_cyber,@ganjarpranowo
@Minang_cyber,@DPP_PPP
@Minang_cyber,@sandiuno
@wong_kamfungs,@keuangannews_id
@andri_dolphin,@detikcom
@baim_loebis,@ajengcute16__
@baim_loebis,@rmol_id
@abdhoelldoel44,@Dennysiregar7
@DyeingM34514,@detikcom
@yumi_cumi00,@tempodotco
@Nova28282828,@ajengcute16__
@Nova28282828,@rmol_id
@Minang_cyber,@prabowo
@Minang_cyber,@Official_PAN
@Minang_cyber,@erickthohir
@Minang_cyber,@golkarpedia
@Minang_cyber,@ridwankamil
@Minang_cyber,@OfficialDPP_PBB
@Minang_cyber,@Yusrilihza_Mhd
@billy4riez,@cakimiNOW
@MrEqualizer2024,@RagilSemar
@jeon_nayoung13,@txtdrpemerintah
@ariabima99,@tvOneNews
@ariabima99,@PDI_Perjuangan
@ariabima99,@ridwankamil
@ariabima99,@sandiuno
@ariabima99,@ganjarpranowo
@GosongImam,@CaturYu28266504
@GosongImam,@DoankWarto
@batusangkak,@cakimiNOW
@batusangkak,@aniesbaswedan
@Uram0501,@Miduk17
@Wwn0303,@CakKhum
@hardi_hardiman2,@Dennysiregar7
@svarga700131,@VIVAcoid
@RTdanLIKE,@tijabar
@bima_ynwa_92,@Tan_Mar3M
@bima_ynwa_92,@aniesmania
@TarunaAdjie1,@papa_loren
Ardiansani @ Ardian sani,@Anak__Ogi
Ardiansani @ Ardian sani,@ch_chotimah2
@nastrideasepti_,@mapplecrush
@nastrideasepti_,@prabowo
@_rifqifadhil,@mapplecrush
@_rifqifadhil,@prabowo
@Cody14072143,@WonogiriPD
@agun_setia68037,@rmol_id
@agun_setia68037,@ganjarpranowo
@AsyilaRiani,@mapplecrush
@AsyilaRiani,@prabowo
@ANasakom,@CNNIndonesia
@rejeki_h4l4l,@03__nakula
@pinkameliazahra,@mapplecrush
@pinkameliazahra,@prabowo
@SafridhaYusuf,@Hasbil_Lbs
@gidal1228,@DewiOzza
@gidal1228,@ganjarpranowo
@AgungZulFJR,@mapplecrush
@AgungZulFJR,@prabowo
@naurakhansaaa,@mapplecrush
@naurakhansaaa,@prabowo
@fajar_nugrohoo1,@mapplecrush
@fajar_nugrohoo1,@prabowo
@OtomotifSe51240,@christ1890
@OtomotifSe51240,@KakekHalal
@Minang_cyber,@NephilaXmus
@citrayolanda_,@mapplecrush
@citrayolanda_,@prabowo
@iqbaaalrahmt,@mapplecrush
@iqbaaalrahmt,@prabowo
@AlvaroGilan9,@mapplecrush
@AlvaroGilan9,@prabowo
@verensyakirah,@mapplecrush
@verensyakirah,@prabowo
@ChristinaPut0,@mapplecrush
@ChristinaPut0,@prabowo
@arief_jona,@mapplecrush
@arief_jona,@prabowo
@govinda_jaya_,@hc_poirot
@NephilaXmus,@Prabowo
@NephilaXmus,@gibran_tweet
@novilahamidah16,@mapplecrush
@novilahamidah16,@prabowo
@diandra_cik12,@mapplecrush
@diandra_cik12,@prabowo
@Alvaro_Hakim007,@Miduk17
@Sh4d4mhu53n,@tvOneNews
@MahadewiSoff,@mapplecrush
@MahadewiSoff,@prabowo
@gnurtanio,@DoankWarto
@bukan_bumbu,@papa_loren
@yuliaaanidiya_,@mapplecrush
@yuliaaanidiya_,@prabowo
@YushintaWul,@mapplecrush
@YushintaWul,@prabowo
@setyosby,@KompasTV
@Metro_TV,@Metro_TV
@DithoSusilo,@KompasTV
@Minietweets_,@bengkeldodo
@seruanhl,@erickthohir
@smadon77,@VIVAcoid
@AlnilamOmar,@vanc1Bozz
@nisharasustika,@mapplecrush
@nisharasustika,@prabowo
@Kalibrasi100,@angel_tuturanmu
@muttaqindepok,@OposisiCerdas
@AdaBaiknyaaa,@Dennysiregar7
@MIBarokah,@AgusYudhoyono
@mcyazid,@ekokuntadhi1
@IrpanSupandi12,@MardaniAliSera
@IrpanSupandi12,@PKSejahtera
@Gegetone,@detikcom
@arx21,@papa_loren
@dedifir30803641,@tvOneNews
@RagilSemar,@Shalihin_NAD
@RagilSemar,@Tan_Mar3M
@RagilSemar,@PKSejahtera
@bukan_bumbu,@txtdrimedia
@muttaqindepok,@BangPino__
@Ilhamibra84,@satriohendri
@cryptoholderrrr,@aniesbaswedan
@alfani_ryul,@yennywahid
@alfani_ryul,@sandiuno
@alfani_ryul,@puanmaharani_ri
@KARNABI43,@detikcom
@esti_joko,@VIVAcoid
@HelmHalus,@gb_sleepy
@HelmHalus,@VIVAcoid
@midhangste,@SangkalaSangka6
@midhangste,@AgusYudhoyono
@midhangste,@PDemokrat
@SajoAfrizal,@tvOneNews
@LureKu01,@Judakusumah1
@LureKu01,@geloraco
@IamTotoPing,@Dennysiregar7
@Kuwungkuwung2,@satriohendri
@AmboSuhadril,@HelmiFelis_
@arifin34533,@sandiuno
@_____kingAJ,@Hasbil_Lbs
@Ashar_Ayy,@erickthohir
@alfisahdinardi,@alfisahdinardi
@Bagol91375512,@detikcom
@unusdeus1,@GheaJhanaLie7
@unusdeus1,@SBYudhoyono
@AzzamAlifAditya,@PDI_Perjuangan
@cagubnyinyir2,@riksayuda
@cagubnyinyir2,@RichardWPS
@cagubnyinyir2,@eddy_widodo_165
@cagubnyinyir2,@_W1LL1AM
@cagubnyinyir2,@PakJenggot___
@cagubnyinyir2,@22Similikiti
@cagubnyinyir2,@EllyKoro
@Jupri56024559,@OfficialDPP_PBB
@tribunpontianak,@YouTube
@YasrizalJ57255,@tvOneNews
@AditDany,@VIVAcoid
@sangwinners1,@Hasbil_Lbs
@nandar5758,@KompasTV
@biin_hiday3021,@tvOneNews
@adi_marz07,@tutura2003yaho1
@adi_marz07,@Hasbil_Lbs
@rabkAlureahC,@MamatAlkatiri
@nurterbit,@BundaSitiRabiah
@dhimasairlangg1,@CakKhum
@pejuangnkri77,@VIVAcoid
@D3Lecturer,@Dennysiregar7
@bm_ismail,@CakKhum
@AaweRaja,@tvOneNews
@aeontargareyn,@alextham878
@aeontargareyn,@mohmahfudmd
@DidinMulyana18,@KompasTV
@ujangmaman2094,@KompasTV
@yumi_cumi00,@detikcom
@yumi_cumi00,@sobat_anies
@sydneyzw,@erickthohir
@dedisukadar245,@ekokuntadhi1
@harrispradana_,@harrispradana_
@Dewasuri30,@cakimiNOW
@Dewasuri30,@kpk
@Dewasuri30,@prabowo
@Dewasuri30,@ganjarpranowo
@Dewasuri30,@erickthohir
@Dewasuri30,@gibran_tweet
@Dewasuri30,@airlangga_hrt
@Dewasuri30,@Hary_Tanoe
@Dewasuri30,@ZUL_Hasan
@Dewasuri30,@mohmahfudmd
@Dewasuri30,@aniesbaswedan
@Dewasuri30,@sudirmansaid
@Dewasuri30,@PKSejahtera
@Dewasuri30,@DPP_PKB
@Dewasuri30,@PEMUDAP
@Dewasuri30,@muhammadiyah
@Dewasuri30,@MUIPusat
@elanyani11,@luksutanto
@elanyani11,@musniumar
@Yoes33687368,@tempodotco
@mas_ngandre,@Dennysiregar7
@xaquily,@adi_marz07
@xaquily,@Hasbil_Lbs
@TonyAlvito,@husnial_pardi
@TonyAlvito,@Hasbil_Lbs
@TonyAlvito,@BroilerRos42000
@__R3mind_M3_,@alisyarief
@Rydi64106934,@CNNIndonesia
@DhewaKhan,@Dennysiregar7
@Rz63066495,@detikcom
@wongkitogalo197,@KompasTV
@asepkartika3,@teko_suparto
@asepkartika3,@tvOneNews
@IkhwanSiregar,@ajengcute16__
@Lopasarah242583,@Dennysiregar7
@hairululum,@keuangannews_id
@Arie_gin2,@tvOneNews
@yoedhanegara,@aniesbaswedan
@yoedhanegara,@ganjarpranowo
@yoedhanegara,@prabowo
@yoedhanegara,@cakimiNOW
@rasya2125,@Hasbil_Lbs
@rasya2125,@goldenbanana12r
@rizal_1966,@BangPino__
@ardianto_,@PDemokrat
@Zly_aja,@detikcom
@mr_abas,@tvOneNews
@HendZiddane,@tvOneNews
@Maju_Mundur01,@detikcom
@ockywicahya,@henrysubiakto
@juandi75652837,@DoyoWardoy0
@rabudi2000,@myperspective76
@rabudi2000,@detikcom
@SangkalaSangka6,@FatkhuRoza97280
@SangkalaSangka6,@MardaniAliSera
@TeweL0101,@ganjarpranowo
@rigou28,@Hasbil_Lbs
@hansssolo ||,@muchlis_ar
@hansssolo ||,@CeciliaSuwanda1
@Jack0295893238,@WonogiriPD
@PengabdiTantan,@musniumar
@_haabee,@KompasTV
@Aryprasetyo85,@erickthohir
@Amrullaham33262,@tvOneNews
@carlitovito180,@tvOneNews
@AlHafiz21240850,@Dennysiregar7
@Mas_Hario,@tvOneNews
@ArroyanMiharja2,@detikcom
@hends08,@vanc1Bozz
@hends08,@SBYudhoyono
@hends08,@PDemokrat
@imibnuumar,@Hasbil_Lbs
@imibnuumar,@goldenbanana12r
@Aryprasetyo85,@erickthohir
@Aryprasetyo85,@jokowi
@KamarullahH,@sandiuno
@KamarullahH,@ganjarpranowo
@KamarullahH,@AgusYudhoyono
@munadryaslam,@detikcom
@eswanto_esw,@Hasbil_Lbs
@eswanto_esw,@goldenbanana12r
@jopang_,@erickthohir
@yumi_cumi00,@Rachmayanto
@yumi_cumi00,@Bapirau1
@yumi_cumi00,@musniumar
@NoMookeedee,@VIVAcoid
@mirhan_sandy,@detikcom
@PasukanPelor,@Hasbil_Lbs
@yumi_cumi00,@Rachmayanto
@yumi_cumi00,@Bapirau1
@yumi_cumi00,@musniumar
@terjabarkan,@terjabarkan
@terjabarkan,@grandmaguz
@terjabarkan,@budimandjatmiko
@yumi_cumi00,@Rachmayanto
@yumi_cumi00,@Bapirau1
@yumi_cumi00,@musniumar
@Kimberley_2024,@Hasbil_Lbs
@bangkit20214251,@Mdy_Asmara1701
@Stargenerat10n,@tvOneNews
@IswadiPerkasa,@TeddGus
@MarabiAl,@Paltiwest
@abi_sasaLL,@erickthohir
@WachidBang,@naaooollll
@sumarlinarif,@tempodotco
@garanggara55667,@kompascom
@NoMookeedee,@Hasbil_Lbs
@1w4n5u614270,@rmol_id
@1w4n5u614270,@ganjarpranowo
@taukhidwb,@Yurissa_Samosir
@taukhidwb,@bos_sir
@tribunpontianak,@YouTube
@pejuangnkri77,@tempodotco
@damai_ind,@tvOneNews
@enkaeriharmat,@cakimiNOW
@semaukuuuuu,@arkaatmaja7
@semaukuuuuu,@yusuf_dumdum
@Her_dermawan,@AlumRombia
@mahonespin1,@Kielbasa528
@Ziipo17,@cakimiNOW
@kunadnanm659,@raetse
@kunadnanm659,@jansen_jsp
@mahonespin1,@Kielbasa528
@a_doni95,@Fahrihamzah
@a_doni95,@KPU_ID
@kunadnanm659,@BeeetheBoss
@kunadnanm659,@jansen_jsp
@basukining,@jansen_jsp
@basukining,@aniesbaswedan
@AribowoAnto,@musniumar
@DiaBumbum,@djoniecash2
@DiaBumbum,@erickthohir
@algoritma67,@OposisiCerdas
@FelixSGL1,@FelixSGL1
@FelixSGL1,@AliTirta2
@Bobohogue,@tvOneNews
@mulanbilqis,@erickthohir
@agus_topeh,@Dennysiregar7
@1973Suharjito,@EricRicaldo
@SonyaTambu55523,@AgusYudhoyono
@SonyaTambu55523,@PDemokrat
@rangerpink124,@fatullah52
@rangerpink124,@SangkalaSangka6
@Karajgom,@Hasbil_Lbs
@Karajgom,@GunawanLil18453
@Mhuemek,@vanc1Bozz
@Mhuemek,@ganjarpranowo
@pettruss2023,@ch_chotimah2
@pettruss2023,@ganjarpranowo
@ganjarismataram,@ch_chotimah2
@ganjarismataram,@prabowo
@IkhwanSiregar,@HukumDan
@IkhwanSiregar,@ganjarpranowo
@ondel2wan_abud,@alextham878
@Jay11532293,@ch_chotimah2
@Jay11532293,@psi_id
@ondel2wan_abud,@psi_id
@agus_setya,@Catatan_ali7
@agus_setya,@ganjarpranowo
@ara_sofyan,@inilahdotcom
@ara_sofyan,@aniesmania
@ara_sofyan,@ganjarpranowo
@yukitawor,@Anak__Ogi
@yukitawor,@ganjarpranowo
@ganjarmbantul,@ganjarmbantul
@ganjarmbantul,@ganjarmbantul
@PrabuSantoso1,@NenkMonica
@PrabuSantoso1,@ganjarpranowo
@AnifahWinkler,@ganjarpranowo
@PenerjemahResmi,@SammiSoh
@PenerjemahResmi,@jokowi
@Danu_d4nu,@Aryprasetyo85
@Danu_d4nu,@Miduk17
@ZieYan16,@ch_chotimah2
@ZieYan16,@prabowo
@iwandana1,@ch_chotimah2
@iwandana1,@prabowo
@AnimismeL,@ekowboy2
@AnimismeL,@ganjarpranowo
@aryadwipanggak1,@ganjarpranowo
@agus_setya,@Catatan_ali7
@agus_setya,@ganjarpranowo
@sofyanhadiww,@tvOneNews
@diahnya_sastro,@BradHarizz
@diahnya_sastro,@ganjarpranowo
@yaomin999,@bahaspemainbola
@nunggu_bis,@fachmiza
@nunggu_bis,@ganjarpranowo
@Iskandarpaksi99,@yaniarsim
@Iskandarpaksi99,@ganjarpranowo
@rndmafr,@Rriskand
@rndmafr,@vanc1Bozz
@rndmafr,@ganjarpranowo
@g4kta,@ariefbudiawan7
@g4kta,@Gus_Raharjo
@g4kta,@ganjarpranowo
@Per98943129Rudi,@99propaganda
@Per98943129Rudi,@ganjarpranowo
@BenjaminBanglor,@TeddGus
@BenjaminBanglor,@cakimiNOW
@Robinbinbin1,@sociotalker
@Robinbinbin1,@muhibin_gusbaha
@one_ted,@vanc1Bozz
@one_ted,@ganjarpranowo
@sicksixsic_,@vanc1Bozz
@sicksixsic_,@ganjarpranowo
@ara_sofyan,@vanc1Bozz
@ara_sofyan,@ganjarpranowo
@apsusanto49,@inilahdotcom
@apsusanto49,@ganjarpranowo
@muadi_ali,@Kayakuwek2
@muadi_ali,@Anak__Ogi
@RayTangkul,@Dhany019
@RayTangkul,@M45Broo
Aguss@penawar luka hati,@wil_ws_
Aguss@penawar luka hati,@RstmBcl
Aguss@penawar luka hati,@ganjarpranowo
@sengagis,@inilahdotcom
@sengagis,@ganjarpranowo
@DewoSenuk,@BuayaUbanan
@Lintingan_Mbako,@jokowi
@Lintingan_Mbako,@ganjarpranowo
@septiankusuma,@vanc1Bozz
@septiankusuma,@ganjarpranowo
@massamoemar,@NenkMonica
@massamoemar,@ganjarpranowo
@RstmBcl,@devcepi60
@RstmBcl,@BradHarizz
@RstmBcl,@ganjarpranowo
@Su2Genk,@vanc1Bozz
@Su2Genk,@ganjarpranowo
@PetitahP,@ch_chotimah2
@PetitahP,@prabowo
@HaraRehe,@Catatan_ali7
@HaraRehe,@ganjarpranowo
@RstmBcl,@BradHarizz
@RstmBcl,@ganjarpranowo
@mommy_mawar45,@yaniarsim
@mommy_mawar45,@prabowo
@mommy_mawar45,@ganjarpranowo
@ethes700,@WagimanDeep212_
@YenniAg77857805,@vanc1Bozz
@YenniAg77857805,@ganjarpranowo
@MuhammadTa6693,@Adra_silent
@MuhammadTa6693,@ous92937
@MuhammadTa6693,@BangPino__
@Republicsocmed,@Anak__Ogi
@Republicsocmed,@ganjarpranowo
@FRENGKY87279068,@BradHarizz
@FRENGKY87279068,@ganjarpranowo
@TheoSamtora,@Catatan_ali7
@TheoSamtora,@ganjarpranowo
@MuhammadTa6693,@Umar_Hasibuan__
@MuhammadTa6693,@aniesmania
@Omy_MpunkPex,@vanc1Bozz
@Omy_MpunkPex,@ganjarpranowo
@afanaphien2016,@ch_chotimah2
@afanaphien2016,@prabowo
@lucca96270437,@ch_chotimah2
@lucca96270437,@psi_id
@rezapras22,@sianakboba
@rezapras22,@ganjarpranowo
@TheSimiliar,@tvOneNews
@muharam1988,@geloraco
@Peranta24228158,@alextham878
@NovendraPutra4,@StoryNayua
@SyaifulAli19,@NenkMonica
@SyaifulAli19,@ganjarpranowo
@kejora82,@TeddGus
@kejora82,@jokowi
@sugimanto_w,@Catatan_ali7
@sugimanto_w,@ganjarpranowo
@Ok3_an1,@HeryIdris5
@UCIKINI,@hc_poirot
@Catatan_ali7,@MamatAlkatiri
@DunguPhobia,@ganjarpranowo
@Asepbaedowi2,@SepBdx16
@Asepbaedowi2,@ndnabila
@Asepbaedowi2,@jokowi
@Asepbaedowi2,@ganjarpranowo
@Asepbaedowi2,@sonianatalia_w
@coldbrew165,@AndreasSolusi
@coldbrew165,@ganjarpranowo
@MalmsteenEndye,@narkosun
@rezapras22,@hujanrintik___
